x,y,outcome
27.05,206.6,0
24.86,144.3,0
18.74,169.6,0
0.30,266.0,0
9.45,194.9,0
9.16,281.2,0
29.31,220.4,0
35.68,150.9,0
13.62,171.6,0
8.00,182.0,0
3.61,175.5,1
32.63,251.1,0
23.98,217.6,1
2.44,225.3,0
19.10,154.3,0
39.75,153.0,1
34.95,148.6,1
38.81,104.2,1
6.60,243.7,0
29.82,143.7,0
10.92,116.9,0
8.53,151.9,1
35.71,254.4,0
20.60,189.1,0
20.62,264.0,0
2.11,131.9,0
5.97,276.4,0
20.80,114.0,0
14.24,197.4,1
8.96,163.8,0
31.49,236.2,0
21.63,221.5,0
18.60,295.3,0
5.13,269.7,0
26.76,177.0,1
18.27,123.6,1
22.29,274.5,0
11.62,111.8,0
25.32,191.0,1
39.31,220.5,1
3.28,291.4,0
13.64,293.4,0
29.29,142.3,0
15.46,100.6,0
6.52,226.5,0
7.64,295.4,0
10.65,282.4,0
27.79,112.4,0
0.75,231.6,0
28.26,273.0,1
12.74,167.0,0
34.32,295.3,0
15.97,249.9,0
0.09,113.2,0
7.34,283.5,0
22.90,157.1,0
23.94,270.4,0
31.55,191.7,1
24.31,169.0,0
39.70,121.5,0
16.76,108.6,1
2.79,125.7,0
19.05,199.4,1
26.72,171.3,1
8.75,188.6,0
26.56,207.8,1
25.65,287.1,0
7.99,280.2,0
38.52,221.8,1
22.67,254.9,0
23.54,251.3,0
24.94,116.0,0
33.91,175.5,1
2.30,198.6,0
35.79,221.3,1
29.85,216.0,1
7.23,166.8,0
33.95,100.9,0
28.16,172.0,0
39.78,219.8,0
27.74,216.6,1
21.30,208.2,0
29.88,163.8,1
0.58,172.9,0
17.90,172.9,0
19.36,194.0,0
10.17,200.1,1
14.67,179.9,0
12.68,147.4,0
26.38,218.1,1
37.25,179.2,1
10.38,139.3,0
7.68,114.6,0
38.15,238.8,0
2.76,170.2,0
32.05,217.3,1
35.84,265.9,0
39.20,122.6,1
13.66,264.5,0
18.39,189.0,0
36.66,233.2,0
2.36,123.4,0
25.18,217.1,0
19.65,244.3,0
33.77,128.0,0
29.98,207.3,0
21.15,298.5,1
24.58,241.2,1
39.60,119.7,1
39.94,132.1,1
4.60,228.9,0
21.97,255.3,0
33.27,217.7,0
24.02,251.2,0
26.55,279.7,0
27.45,148.6,0
20.61,156.7,0
33.68,172.6,0
12.90,208.4,0
12.02,209.1,0
9.20,110.6,0
25.99,151.1,0
14.03,213.2,0
26.31,165.1,0
2.57,110.6,0
30.09,279.3,1
23.89,190.7,0
9.72,184.4,0
26.81,135.2,1
6.58,227.2,0
0.96,175.5,0
7.58,135.3,0
35.56,104.6,1
36.77,162.9,1
29.01,204.3,0
2.22,156.9,1
4.46,163.3,0
2.69,274.5,1
13.80,227.6,1
3.75,209.9,0
27.82,203.2,1
27.95,124.0,1
11.70,243.5,0
28.45,182.5,0
13.87,199.5,1
6.40,277.7,0
22.56,153.5,0
19.72,241.2,0
29.51,136.9,1
38.75,217.9,1
27.87,276.2,0
28.25,274.7,1
17.11,220.2,0
3.02,236.2,0
2.50,268.4,0
2.45,280.0,0
14.13,106.9,0
36.81,236.6,1
34.39,282.0,1
18.20,156.5,0
30.41,178.8,1
20.35,221.7,0
17.06,215.6,0
15.32,105.4,0
1.31,188.3,0
18.16,218.9,0
18.79,225.4,0
24.44,250.5,0
25.25,178.1,0
30.85,182.9,0
7.82,108.3,0
2.00,272.2,1
30.18,213.0,1
22.69,288.8,0
15.54,269.6,0
38.76,152.0,0
1.73,193.5,0
24.41,268.4,0
1.35,258.6,0
2.98,188.4,0
28.41,288.9,1
34.68,170.4,1
28.22,270.3,0
12.28,194.8,0
39.81,240.2,0
36.80,122.6,0
32.94,283.6,0
9.35,131.8,0
10.10,159.8,0
4.77,130.2,0
7.55,269.7,0
10.08,157.0,0
3.11,217.2,1
16.91,202.4,0
36.15,152.7,0
11.08,225.8,0
17.10,153.2,0
28.94,228.5,1
8.91,155.7,0
0.46,128.4,0
21.71,218.0,0
20.91,231.7,0
38.38,142.5,0
7.10,169.3,0
39.11,244.5,1
27.66,237.1,1
23.70,219.4,0
4.82,239.5,0
39.28,295.0,0
2.68,115.7,0
25.38,205.4,0
3.29,288.6,0
16.12,212.9,0
26.68,293.2,0
14.48,215.2,0
12.77,139.0,0
3.24,180.5,0
1.72,261.1,0
26.33,141.3,1
12.30,221.3,1
23.95,165.0,0
34.54,233.4,1
11.06,167.0,0
30.67,142.7,1
1.53,126.5,1
12.33,168.1,0
37.20,111.6,1
24.37,266.2,0
11.58,119.3,0
28.47,108.0,0
39.77,288.2,0
18.14,147.3,1
16.64,165.0,0
20.23,184.1,0
26.60,119.4,0
6.19,231.9,0
34.26,238.8,1
3.98,186.1,0
16.73,253.0,0
15.04,219.8,0
36.69,207.6,0
15.92,152.2,0
35.83,297.2,0
23.30,273.7,0
19.74,169.6,1
37.11,179.1,0
16.35,171.8,1
15.48,147.1,0
21.37,241.7,1
24.17,139.1,0
9.05,255.1,0
20.22,286.2,0
17.27,276.9,0
13.83,195.6,0
31.41,220.1,1
17.04,112.4,0
0.90,295.4,0
38.95,284.0,0
7.33,293.2,0
15.24,138.4,0
22.20,280.5,0
13.42,206.5,1
38.34,170.3,1
10.09,215.5,0
13.90,119.3,0
6.67,167.6,0
4.22,262.7,0
16.33,278.6,0
2.24,149.0,1
27.16,230.9,0
17.43,171.3,1
24.55,203.2,0
19.59,282.6,0
16.13,125.4,0
6.22,149.9,0
37.67,249.2,1
14.31,177.6,0
7.78,108.7,1
29.63,267.0,0
36.28,180.0,1
34.59,130.0,0
12.92,292.5,0
30.91,103.5,0
13.14,269.9,0
16.29,168.0,0
13.38,176.0,0
14.25,276.2,0
26.87,118.0,0
18.67,181.7,0
19.99,270.1,0
28.62,167.4,0
3.02,233.9,0
18.81,120.0,0
21.26,267.6,0
29.44,127.4,0
10.15,168.4,0
25.53,150.4,0
37.87,166.2,1
2.38,213.1,0
19.03,150.6,0
14.51,172.6,0
7.85,146.9,0
31.70,201.3,0
18.93,293.5,0
7.77,114.8,0
16.45,134.0,0
32.45,235.1,0
23.60,111.4,1
34.62,131.0,1
7.61,229.4,1
26.54,125.1,0
17.67,177.4,1
10.90,122.2,0
35.81,185.1,0
17.11,158.7,1
18.36,103.2,1
36.28,121.1,0
24.65,189.4,0
34.74,250.5,0
6.24,130.2,0
39.88,219.4,0
38.91,226.5,0
1.95,251.6,0
33.76,240.2,0
8.41,214.7,0
30.38,188.1,0
3.27,194.6,0
35.24,186.9,1
22.37,108.8,0
12.74,240.3,0
23.00,108.2,0
10.37,296.9,0
35.37,208.9,1
2.81,201.5,0
39.90,220.8,1
31.87,123.2,0
32.38,176.9,0
24.89,120.0,0
33.58,281.7,1
17.33,272.5,0
26.83,241.8,0
10.48,281.4,0
15.56,150.1,0
24.71,152.7,1
0.84,215.0,0
4.48,205.2,0
14.54,115.6,0
13.40,110.2,0
13.18,219.5,0
27.19,145.7,0
3.97,159.9,0
11.10,250.6,0
7.39,268.4,0
21.56,122.4,1
22.67,246.8,0
31.60,126.8,0
33.41,250.8,1
39.58,198.7,1
7.51,125.9,0
0.37,189.2,0
8.07,184.4,0
15.49,239.2,0
23.78,223.9,0
20.90,152.2,0
16.01,247.7,0
14.50,201.9,0
14.52,207.2,1
32.01,225.4,0
13.43,106.5,0
21.99,216.1,0
37.12,267.4,0
34.01,287.9,0
5.82,289.3,1
33.97,165.5,0
30.42,258.6,0
7.57,165.4,0
29.73,275.4,1
29.17,290.5,0
17.68,111.9,0
8.88,185.5,0
25.70,189.0,0
28.98,241.6,0
22.38,177.3,0
18.24,135.0,0
29.47,229.5,1
34.31,134.9,1
2.86,236.0,0
36.93,124.3,0
31.19,270.6,0
33.42,104.5,1
16.10,119.2,0
37.50,201.5,0
25.81,108.5,0
24.42,165.6,1
16.41,216.5,1
16.88,107.7,1
29.35,165.3,0
15.95,185.5,0
4.44,132.4,0
37.46,275.9,0
28.42,248.2,0
18.20,128.4,0
34.41,283.6,1
16.38,291.4,0
6.35,116.6,0
20.76,120.9,0
2.81,189.4,0
32.46,246.4,1
32.11,237.3,0
21.23,193.1,0
24.74,201.4,1
9.62,168.9,0
34.18,265.8,0
36.56,293.5,0
38.03,103.2,0
38.05,196.4,1
19.17,232.8,0
3.25,110.0,0
36.17,260.7,0
16.99,299.5,1
25.70,228.8,1
37.77,285.1,0
2.34,245.4,0
33.27,110.8,1
20.05,183.8,0
23.19,270.8,0
12.19,128.7,0
19.18,233.6,0
26.75,115.2,0
30.62,137.0,1
37.14,273.0,1
34.89,189.9,0
30.11,270.2,0
17.95,275.6,0
35.64,247.8,1
27.25,165.6,0
28.72,280.2,0
27.03,231.7,1
31.02,278.9,0
25.19,270.9,0
13.68,257.7,0
34.05,295.9,1
12.93,139.7,0
25.25,265.0,0
39.69,143.7,0
17.43,158.8,0
19.28,214.1,0
0.28,292.7,0
15.51,287.2,0
11.67,261.2,0
11.76,299.4,0
38.31,216.6,0
35.22,280.8,0
4.08,287.6,0
0.76,130.9,0
24.98,166.5,1
8.53,274.0,0
11.14,295.1,1
33.57,142.8,0
16.18,201.8,0
15.09,268.6,1
36.92,229.8,0
35.14,179.4,0
3.27,299.1,0
28.05,117.1,1
3.08,207.6,0
28.21,290.4,0
28.51,192.9,1
8.29,287.4,0
27.59,231.9,0
36.78,105.0,0
16.72,224.8,0
33.29,245.2,1
35.28,120.8,1
28.54,105.5,0
24.14,115.5,1
17.89,192.6,0
25.85,296.6,0
31.12,250.6,0
24.33,243.9,0
34.78,145.3,0
37.27,264.6,0
3.54,241.6,0
14.65,270.4,0
19.68,202.1,0
9.21,135.6,0
34.51,211.4,0
21.61,203.1,0
30.31,290.4,0
2.95,254.1,0
16.51,268.3,0
16.22,282.5,0
10.93,279.7,0
2.69,276.2,0
35.05,176.3,1
6.75,279.0,0
19.73,142.5,0
37.02,125.3,0
31.74,218.7,0
32.89,174.2,0
24.13,221.8,0
9.21,155.6,0
19.05,129.5,0
19.10,244.6,0
26.84,265.8,1
31.29,290.4,0
12.38,236.0,0
22.95,260.9,0
35.18,110.5,1
10.86,176.2,1
11.79,238.4,0
27.33,169.5,1
10.12,287.2,0
12.82,223.1,0
7.07,299.4,0
22.19,162.1,0
15.90,155.7,0
29.98,155.6,1
30.92,129.7,1
13.83,192.5,0
10.69,103.0,0
20.00,187.1,0
37.68,108.3,0
23.54,136.9,0
17.54,149.4,0
28.57,217.7,0
36.89,248.9,0
10.50,240.5,0
6.72,138.1,1
14.75,249.5,0
24.45,190.4,0
8.04,148.3,0
35.51,126.2,0
36.39,270.6,1
19.56,256.9,0
38.18,119.2,1
23.08,168.2,1
7.67,276.6,0
3.91,287.4,0
12.27,281.9,0
1.54,251.6,0
6.64,288.4,0
32.68,193.1,1
31.74,268.2,1
12.22,168.0,0
39.52,160.2,0
0.61,251.8,0
22.87,275.3,0
36.88,180.4,0
30.83,299.3,1
12.48,285.5,0
35.64,131.4,1
14.44,197.5,0
24.92,120.8,0
22.95,209.7,0
12.86,208.4,0
26.00,205.3,0
4.47,158.7,0
4.25,139.6,0
35.22,293.9,0
19.25,206.8,1
19.21,283.0,0
14.93,136.8,0
16.44,139.0,0
12.41,277.6,0
31.09,272.1,1
3.24,202.2,0
1.27,145.0,1
2.63,107.5,1
29.09,286.7,0
25.34,299.8,0
33.52,244.9,0
26.34,148.2,0
25.93,174.5,0
32.99,149.5,1
6.98,294.6,0
6.41,237.5,0
22.25,246.0,0
30.78,164.4,1
32.50,191.2,0
25.91,208.5,1
26.00,116.9,0
38.85,241.7,1
20.10,151.6,0
19.55,225.1,0
12.43,245.0,0
16.82,282.7,0
37.09,241.2,0
24.76,188.9,0
7.10,191.4,0
25.87,255.0,1
16.24,147.8,0
2.88,275.8,0
18.41,204.9,0
17.17,279.5,1
6.13,291.7,0
22.90,149.4,0
10.30,173.7,0
33.54,197.6,0
12.33,250.6,0
24.18,182.8,0
5.46,159.5,0
35.74,176.2,1
33.69,229.1,0
7.97,226.9,0
16.20,187.1,0
32.93,162.9,1
24.10,289.4,0
10.84,291.4,0
11.01,152.4,0
23.09,205.7,0
0.44,251.0,0
18.83,181.5,0
6.21,298.5,0
5.03,203.7,0
34.21,295.8,0
2.89,280.5,0
8.62,129.1,1
6.53,151.7,0
39.49,134.6,1
28.59,169.2,0
36.38,180.9,1
29.43,171.4,1
33.60,204.4,0
20.38,295.0,0
32.30,224.1,1
32.08,153.1,1
38.83,260.7,0
18.12,169.6,1
39.71,252.1,0
32.15,193.7,0
27.15,203.7,0
21.42,115.0,1
20.69,256.5,0
32.82,258.6,0
37.75,262.6,0
24.10,145.6,1
33.82,128.5,0
17.68,182.6,0
21.99,252.8,1
8.65,143.0,0
11.64,282.1,0
2.65,144.1,1
6.85,131.2,0
3.43,277.6,0
19.83,173.4,0
32.47,169.4,1
16.15,275.0,0
7.12,169.6,0
34.07,212.7,1
36.88,203.7,1
33.94,173.5,1
1.15,206.6,1
2.23,232.7,0
27.84,133.8,0
0.12,143.9,0
8.59,292.2,0
22.81,150.7,1
34.77,281.7,0
30.00,140.7,0
35.24,109.5,0
10.17,237.8,0
38.10,133.2,0
16.44,182.9,1
19.95,267.5,1
39.66,236.1,0
0.55,282.2,0
1.20,258.7,0
18.22,292.1,0
16.13,194.3,0
31.00,200.4,0
30.52,180.3,0
6.78,222.1,1
25.85,174.1,0
15.16,232.2,0
27.89,127.0,0
36.52,152.1,1
6.13,139.4,0
16.01,244.5,0
2.98,246.2,0
36.29,136.2,0
7.11,212.0,0
32.07,117.8,1
9.40,129.5,0
39.77,103.7,1
11.02,242.7,0
0.57,286.4,0
3.77,126.2,1
31.56,163.6,1
27.84,171.6,0
21.12,241.3,0
37.56,202.2,0
32.53,241.6,1
32.73,243.3,0
31.76,142.3,0
26.14,242.6,1
30.63,204.2,0
27.00,196.5,0
35.79,201.9,1
17.10,155.4,0
13.44,203.3,0
33.32,238.9,0
0.78,145.4,0
17.95,170.8,0
4.76,172.7,0
27.95,137.4,1
37.13,246.4,0
3.89,158.8,1
14.09,272.8,1
32.95,141.6,0
1.13,282.2,0
6.37,251.4,1
21.87,140.0,0
17.96,137.5,0
20.85,211.5,0
2.70,184.1,0
5.33,198.1,1
13.47,251.8,0
34.95,106.8,1
2.27,257.8,0
29.33,221.2,0
34.68,150.9,1
30.54,207.3,0
18.52,262.7,1
21.42,154.3,0
16.37,157.8,0
14.75,283.8,0
38.26,258.0,1
4.61,199.6,0
0.70,100.6,0
15.86,155.8,0
31.85,179.0,0
16.00,139.4,0
4.66,148.4,0
38.33,211.5,1
36.03,240.7,1
30.32,147.6,0
14.49,218.9,0
3.34,218.0,0
30.33,148.2,0
23.74,269.3,0
23.15,236.7,0
1.24,150.2,0
9.84,290.2,0
1.50,148.4,0
35.18,296.2,0
14.30,215.2,0
1.55,211.5,0
13.27,243.4,0
2.79,117.7,0
26.24,134.8,0
16.59,264.6,0
19.02,254.2,0
20.67,225.0,0
21.55,210.5,0
32.35,154.4,1
7.73,295.2,0
31.55,286.8,0
20.25,195.9,0
36.31,107.3,0
17.96,224.6,1
13.27,153.0,0
9.00,141.6,0
31.16,210.8,0
8.52,213.2,0
22.44,106.0,0
25.67,250.0,0
30.39,263.3,0
20.10,299.3,1
21.51,292.7,1
26.39,246.8,0
20.84,299.1,0
30.14,233.4,0
36.67,217.9,0
27.13,296.9,1
18.66,105.7,1
11.79,112.5,1
38.00,124.0,1
13.97,120.1,1
15.94,104.9,0
36.77,106.0,0
8.48,192.2,0
30.33,158.7,1
2.08,114.5,0
38.84,271.7,0
22.45,213.9,0
31.74,180.0,0
26.37,115.3,0
17.90,136.5,0
33.64,287.4,0
15.40,127.6,0
2.01,289.8,0
18.34,192.9,0
1.42,289.9,1
17.73,284.1,0
27.41,195.3,0
35.87,240.2,0
1.56,210.5,1
20.91,256.3,0
24.15,298.3,0
9.66,134.8,0
12.95,131.6,0
25.45,202.3,0
8.94,281.3,0
1.71,286.1,0
28.45,242.8,0
37.98,156.3,1
32.55,249.1,0
5.73,102.1,0
18.42,100.5,0
12.23,241.6,0
5.63,119.7,0
6.02,177.0,0
39.97,282.3,1
2.81,117.6,1
0.38,113.2,1
31.49,293.6,0
13.83,214.3,0
12.38,106.2,0
15.28,300.0,0
21.78,297.7,0
13.89,132.9,0
29.74,270.5,1
7.35,212.0,0
11.56,225.7,1
19.38,131.5,0
18.76,271.9,0
24.84,265.1,0
20.95,161.4,1
10.74,167.6,0
19.81,260.5,0
13.49,107.1,1
31.13,198.5,1
20.55,101.5,0
4.16,232.9,0
13.32,197.1,1
15.97,102.9,0
34.67,259.4,0
36.40,258.3,1
2.84,162.5,0
20.98,104.9,0
12.20,132.9,0
2.08,135.2,0
11.63,165.9,0
18.42,147.6,0
31.34,242.1,1
21.38,225.2,0
38.88,118.3,0
29.06,225.3,1
2.04,221.8,0
28.46,149.4,0
24.47,257.0,0
17.73,296.8,0
36.40,141.0,0
8.07,286.4,0
11.75,232.4,0
0.38,175.3,1
24.34,194.8,0
12.64,252.9,1
31.69,282.3,1
35.20,192.7,1
29.95,228.2,1
15.83,226.2,1
22.24,133.1,1
28.29,133.9,0
16.82,174.2,0
22.72,289.2,0
8.12,272.4,0
4.86,149.0,0
0.27,265.2,0
17.66,141.5,1
18.07,156.8,0
26.24,181.2,0
8.47,166.1,0
19.79,121.3,0
28.70,162.0,1
14.13,190.0,0
11.90,253.4,0
30.76,185.1,0
15.88,260.0,0
10.13,134.4,0
18.83,198.0,0
7.99,246.6,1
36.58,287.8,0
37.99,165.4,1
31.51,103.2,1
7.96,224.3,1
15.51,237.4,0
27.81,281.7,1
14.48,283.3,0
13.23,234.9,0
10.16,221.9,0
35.68,260.0,1
9.89,135.7,0
6.05,277.1,0
30.41,151.1,0
38.88,228.2,1
39.62,170.6,0
13.26,203.4,0
37.15,295.1,0
9.23,260.3,0
21.65,276.2,0
6.81,155.9,0
10.56,145.5,0
33.30,258.6,1
36.30,298.2,0
22.71,166.0,1
11.75,266.1,0
7.94,277.9,0
0.47,157.9,0
5.95,291.2,1
11.97,152.9,0
36.00,151.5,0
15.58,185.7,0
24.80,151.3,0
26.32,267.8,1
37.16,123.7,1
33.70,281.0,1
29.96,213.8,1
27.31,294.9,1
7.80,248.7,1
0.42,217.5,1
31.29,253.7,0
16.55,182.3,1
19.94,103.1,0
14.26,178.9,0
2.25,149.7,0
24.36,286.0,0
21.49,269.4,0
33.00,177.8,0
9.67,108.5,0
14.50,270.1,1
17.31,138.9,0
35.28,292.8,1
28.60,293.7,0
21.38,293.7,0
34.73,189.3,0
1.58,178.1,0
9.60,197.6,0
8.46,107.9,0
1.63,240.3,0
12.50,238.0,0
36.59,160.5,1
26.99,118.7,0
17.08,226.0,0
18.24,247.0,1
23.32,232.5,1
31.82,264.4,1
31.41,150.4,0
28.85,132.1,0
16.63,194.1,0
20.19,275.1,1
11.32,257.6,0
28.15,235.4,1
20.68,249.0,0
7.05,287.8,0
7.82,241.6,1
36.78,290.1,1
26.68,171.2,0
30.50,240.2,0
0.05,223.6,1
0.05,292.4,0
15.92,148.3,0
14.88,236.4,1
21.66,295.3,0
18.41,203.1,0
21.76,222.8,1
35.67,270.0,1
28.14,104.2,1
37.46,231.4,0
2.62,118.1,0
3.67,216.5,1
6.45,291.7,1
29.93,211.3,0
38.89,143.6,1
26.47,223.3,0
21.08,212.3,0
18.07,278.6,0
11.18,130.0,0
12.02,157.5,1
20.26,123.4,0
25.28,176.3,0
19.16,242.1,0
25.89,138.6,0
16.20,130.7,0
17.92,113.8,0
14.64,182.4,0
5.69,221.4,0
38.03,221.4,0
25.91,114.2,0
2.03,294.2,0
5.60,273.8,1
26.05,186.9,0
17.88,120.6,0
24.98,253.6,1
26.39,202.0,1
8.59,278.8,1
8.04,176.9,0
16.02,151.0,0
22.06,287.0,0
17.03,237.1,0
21.49,233.3,0
35.65,242.2,0
14.73,250.8,0
4.51,142.1,0
14.37,232.1,0
14.37,279.5,0
31.83,206.1,1
26.16,130.7,0
17.18,139.8,0
14.45,295.6,0
36.48,271.3,0
8.10,235.5,0
35.96,245.5,0
17.48,296.1,0
34.10,140.0,1
13.86,172.9,0
21.37,221.1,0
28.45,108.5,1
21.60,162.4,0
37.69,153.7,1
34.81,190.8,1
22.30,236.4,0
31.99,277.0,1
16.27,287.1,0
22.23,273.9,1
21.47,210.0,1
14.41,186.8,0
7.30,138.1,0
16.60,174.0,1
25.46,291.8,1
6.27,154.4,1
10.53,139.5,0
27.63,298.7,0
30.24,135.5,1
15.02,167.7,0
25.56,123.9,0
19.08,161.2,0
12.10,277.0,0
34.53,257.8,0
19.73,107.9,0
34.99,246.1,0
21.47,222.4,0
35.54,188.4,1
9.51,183.4,0
13.42,264.2,0
39.15,234.5,1
20.36,187.6,0
18.03,163.7,0
7.83,104.8,0
35.54,129.7,0
0.24,285.7,0
18.29,237.7,0
0.72,146.7,0
1.17,203.4,0
1.56,262.2,0
16.58,269.0,0
32.44,248.5,1
1.24,236.3,0
25.54,211.1,0
17.42,194.2,0
9.38,218.3,1
14.74,269.6,0
34.71,267.9,1
12.67,118.7,0
3.27,254.8,0
26.49,290.8,0
32.00,106.2,0
32.66,208.4,0
3.82,298.1,0
6.43,180.7,0
28.15,259.2,0
2.75,161.6,0
19.78,201.9,0
16.64,222.3,0
3.32,269.2,0
31.18,171.8,0
16.63,290.0,0
37.41,283.7,1
29.50,243.9,0
26.81,233.2,0
20.55,210.4,0
37.38,273.5,1
17.38,272.9,0
32.20,234.2,0
25.09,266.0,0
31.10,251.5,0
37.08,134.2,0
7.28,165.0,0
30.25,139.1,1
24.59,109.8,0
32.90,194.5,0
27.51,142.8,0
25.03,115.2,0
35.92,131.1,0
5.96,285.0,0
38.12,173.5,0
16.74,130.1,0
13.32,109.8,0
12.56,149.9,0
8.17,255.0,0
25.32,148.6,0
17.60,250.3,0
10.29,168.9,0
6.15,100.9,0
14.52,157.9,0
5.99,277.0,0
5.46,273.9,0
2.26,286.1,0
36.40,243.1,0
21.26,174.2,1
26.76,155.3,1
15.14,257.4,0
38.73,220.2,1
39.66,263.5,0
25.94,115.1,0
21.11,269.3,0
20.15,160.3,1
10.51,259.9,0
36.95,255.2,0
37.65,108.5,1
